scenario,formulation,mip_status,lp_status,mip_objective_eur,lp_objective_eur,objective_gap_eur,same_objective,same_schedule,schedule_gap,lp_fractional_mode_count,lp_max_mode_fractionality,mip_runtime_seconds,lp_runtime_seconds,periods
baseline,basic,OPTIMAL,OPTIMAL,6.78120985263158,6.787228667553082,0.006018814921501914,False,False,1.263157894736842,21,0.4743758212877792,0.032000064849853516,0.007999897003173828,168
baseline,tighter,OPTIMAL,OPTIMAL,6.78120985263158,6.783346099951589,0.002136247320009055,False,False,0.6639463310049104,14,0.29960578186596587,0.04699993133544922,0.004000186920166016,168
flat_prices,basic,OPTIMAL,OPTIMAL,4.324244929880952,4.324244929880956,4.440892098500626e-15,True,False,1.5,1,0.2875,0.007999897003173828,0.0280001163482666,168
flat_prices,tighter,OPTIMAL,OPTIMAL,4.324244929880952,4.324244929880956,4.440892098500626e-15,True,False,1.5,1,0.2875,0.017000198364257812,0.004999876022338867,168
high_price_spread,basic,OPTIMAL,OPTIMAL,10.17181477894737,10.180843001329624,0.009028222382253759,False,False,1.263157894736842,21,0.4743758212877792,0.019999980926513672,0.00800013542175293,168
high_price_spread,tighter,OPTIMAL,OPTIMAL,10.17181477894737,10.175019149927383,0.003204370980013138,False,False,0.6639463310049104,14,0.29960578186596587,0.029000043869018555,0.004999876022338867,168
perfect_efficiency,basic,OPTIMAL,OPTIMAL,7.273759350000001,7.273759350000001,0.0,True,False,1.5,86,0.5,0.019999980926513672,0.004000186920166016,168
perfect_efficiency,tighter,OPTIMAL,OPTIMAL,7.273759350000001,7.273759350000001,0.0,True,False,1.5,13,0.25,0.017999887466430664,0.009999990463256836,168
low_efficiency,basic,OPTIMAL,OPTIMAL,5.822979765916956,5.83893554777045,0.01595578185349389,False,False,1.1611030478955007,18,0.41944847605224966,0.0280001163482666,0.003000020980834961,168
low_efficiency,tighter,OPTIMAL,OPTIMAL,5.822979765916956,5.82673251926793,0.003752753350974025,False,False,0.4098010757278241,11,0.27749999999999997,0.03699994087219238,0.007999897003173828,168
tight_power_limits,basic,OPTIMAL,OPTIMAL,4.321594003739612,4.32159413860371,1.3486409766727547e-07,True,False,0.2628120893561104,5,0.4743758212877792,0.042999982833862305,0.003000020980834961,168
tight_power_limits,tighter,OPTIMAL,OPTIMAL,4.321594003739612,4.32159413860371,1.3486409766727547e-07,True,False,0.1383221522926896,4,0.44999999999999785,0.024000167846679688,0.012000083923339844,168
loose_power_limits,basic,OPTIMAL,OPTIMAL,7.206224994736843,7.241989396649147,0.03576440191230379,False,False,4.684986859395533,28,0.4743758212877792,0.0559999942779541,0.006000041961669922,168
loose_power_limits,tighter,OPTIMAL,OPTIMAL,7.206224994736843,7.20622499473684,-2.6645352591003757e-15,True,False,4.736842105263158,14,0.46562499999999996,0.026000022888183594,0.007999897003173828,168
small_capacity,basic,OPTIMAL,OPTIMAL,3.9044549157894735,3.9113564356559913,0.00690151986651788,False,False,1.8002628120893562,27,0.4743758212877792,0.04999995231628418,0.006999969482421875,168
small_capacity,tighter,OPTIMAL,OPTIMAL,3.9044549157894735,3.9044549157894712,-2.220446049250313e-15,True,True,0.0,14,0.2875,0.018000125885009766,0.00599980354309082,168
large_capacity,basic,OPTIMAL,OPTIMAL,10.636825006094186,10.636825006094186,0.0,True,False,0.7746040528390619,3,0.3495400788436267,0.01100015640258789,0.006000041961669922,168
large_capacity,tighter,OPTIMAL,OPTIMAL,10.636825006094186,10.636825006094186,0.0,True,True,1.0658141036401503e-14,2,0.32249999999999857,0.016000032424926758,0.003999948501586914,168
