formulation,degradation_cost_eur_per_kwh_throughput,status,periods,objective_eur,runtime_seconds,throughput_kwh,equivalent_cycles,total_import_kwh,total_export_kwh,average_soc_utilization,implied_degradation_cost_eur
basic,0.0,OPTIMAL,168,12.925844093421054,0.026000022888183594,234.0513157894737,11.352500000000001,102.7851052631579,146.42578947368423,0.40227130325814536,0.0
basic,0.005,OPTIMAL,168,11.839495139473684,0.009000062942504883,215.0263157894737,10.45,92.4941052631579,137.10978947368423,0.40003916040100246,1.0751315789473685
basic,0.01,OPTIMAL,168,10.77477789570637,0.006999969482421875,205.54016620498615,10.0,88.00695567867035,133.10878947368423,0.3963424185463659,2.0554016620498614
basic,0.02,OPTIMAL,168,9.001513560526316,0.006999969482421875,144.93421052631578,7.125,56.236000000000004,104.44378947368422,0.3381500626566416,2.8986842105263158
basic,0.03,OPTIMAL,168,7.5887737447368435,0.006999969482421875,124.40723684210528,6.15125,47.952999999999996,97.21276315789474,0.40403352130325815,3.732217105263158
tighter,0.0,OPTIMAL,168,12.925844093421054,0.01699995994567871,234.0513157894737,11.352500000000001,102.7331052631579,146.37378947368424,0.39974154135338347,0.0
tighter,0.005,OPTIMAL,168,11.839495139473684,0.009000062942504883,215.0263157894737,10.45,92.4941052631579,137.10978947368423,0.40003916040100246,1.0751315789473685
tighter,0.01,OPTIMAL,168,10.77477789570637,0.01100015640258789,205.54016620498615,10.0,88.00695567867035,133.10878947368423,0.3963424185463659,2.0554016620498614
tighter,0.02,OPTIMAL,168,9.001513560526316,0.012000083923339844,144.93421052631578,7.125,56.236000000000004,104.44378947368422,0.3381500626566416,2.8986842105263158
tighter,0.03,OPTIMAL,168,7.588773744736843,0.009000062942504883,124.40723684210528,6.15125,48.37,97.62976315789474,0.4065632832080201,3.732217105263158
